gene	inheritance	severe
RNF213	AR	no
RNF216	AR	yes
RNF220	AR	yes
RNF31	AR	yes
RNH1	AR	no
RNPC3	AR	yes
RNU12	AR	yes
RNU4ATAC	AR	yes
ROBO1	AR	yes
ROBO3	AR	no
ROGDI	AR	no
ROR1	AR	yes
ROR2	AR	yes
RORC	AR	yes
RP1	AR	no
RP1L1	AR	no
RP2	XL	no
RPE65	AR	yes
RPGR	XL	yes
RPGRIP1	AR	no
RPGRIP1L	AR	no
RPIA	AR	no
RPL10	XL	no
RPL10L	AR	no
RPL3L	AR	yes
RPS6KA3	XL	yes
RRM1	AR	no
RRM2B	AR	yes
RRP7A	AR	no
RS1	XL	no
RSPH1	AR	yes
RSPH3	AR	yes
RSPH4A	AR	yes
RSPH9	AR	yes
RSPO1	AR	no
RSPO2	AR	yes
RSPO4	AR	no
RSPRY1	AR	no
RSRC1	AR	no
RTEL1	AR	yes
RTN2	AR	no
RTN4IP1	AR	no
RTTN	AR	no
RUBCN	AR	no
RUSC2	AR	no
RXYLT1	AR	no
RYR1	AR	yes
RYR3	AR	no
S1PR2	AR	yes
SACS	AR	no
SAG	AR	no
SALL2	AR	no
SAMD7	AR	no
SAMD9	AR	yes
SAMHD1	AR	yes
SAR1B	AR	yes
SARS1	AR	no
SARS2	AR	no
SASH1	AR	no
SASH3	XL	yes
SASS6	AR	no
SBDS	AR	yes
SBF1	AR	no
SBF2	AR	yes
SC5D	AR	no
SCAPER	AR	no
SCARB2	AR	no
SCARF2	AR	no
SCN4A	AR	yes
SCN5A	AR	yes
SCN9A	AR	yes
SCNM1	AR	no
SCNN1A	AR	yes
SCNN1B	AR	yes
SCNN1G	AR	yes
SCO1	AR	no
SCO2	AR	no
SCP2	AR	no
SCUBE3	AR	yes
SCYL1	AR	yes
SCYL2	AR	no
SDCCAG8	AR	yes
SDHA	AR	yes
SDHAF1	AR	yes
SDHB	AR	yes
SDHD	AR	yes
SDR9C7	AR	no
SEC23A	AR	no
SEC23B	AR	yes
SEC24D	AR	no
SEC31A	AR	no
SECISBP2	AR	no
SEL1L	AR	yes
SELENBP1	AR	no
SELENOI	AR	no
SELENON	AR	no
SEMA4A	AR	no
SEMA7A	AR	yes
SEPSECS	AR	no
SERAC1	AR	no
SERPINA1	AR	yes
SERPINA6	AR	no
SERPINA7	XL	no
SERPINB6	AR	no
SERPINB7	AR	no
SERPINB8	AR	no
SERPINC1	AR	yes
SERPINE1	AR	yes
SERPINF1	AR	no
SERPINF2	AR	yes
SERPING1	AR	yes
SERPINH1	AR	no
SETX	AR	no
SFRP4	AR	no
SFTPA1	AR	no
SFTPB	AR	yes
SFXN4	AR	no
SGCA	AR	yes
SGCB	AR	yes
SGCD	AR	yes
SGCG	AR	no
SGPL1	AR	yes
SGSH	AR	no
SH2D1A	XL	yes
SH3KBP1	XL	yes
SH3PXD2B	AR	yes
SH3TC2	AR	no
SHARPIN	AR	yes
SHMT2	AR	yes
SHOC1	AR	no
SHOX	AR;XL	no
SHPK	AR	no
SHQ1	AR	yes
SHROOM4	XL	no
SI	AR	yes
SIGMAR1	AR	no
SIK3	AR	yes
SIL1	AR	no
SIPA1L3	AR	no
SKIV2L	AR	yes
SLC10A7	AR	no
SLC11A2	AR	yes
SLC12A1	AR	yes
SLC12A2	AR	yes
SLC12A3	AR	yes
SLC12A5	AR	no
SLC12A6	AR	no
SLC13A3	AR	no
SLC13A5	AR	no
SLC16A1	AR	yes
SLC16A2	XL	yes
SLC17A5	AR	no
SLC18A2	AR	yes
SLC18A3	AR	yes
SLC19A1	AR	yes
SLC19A2	AR	yes
SLC19A3	AR	yes
SLC1A1	AR	no
SLC1A4	AR	no
SLC22A12	AR	yes
SLC22A5	AR	yes
SLC24A1	AR	no
SLC24A4	AR	no
SLC24A5	AR	no
SLC25A1	AR	yes
SLC25A10	AR	no
SLC25A12	AR	no
SLC25A13	AR	yes
SLC25A15	AR	yes
SLC25A19	AR	no
SLC25A20	AR	yes
SLC25A21	AR	no
SLC25A22	AR	no
SLC25A26	AR	no
SLC25A3	AR	no
SLC25A32	AR	yes
SLC25A36	AR	yes
SLC25A38	AR	yes
SLC25A4	AR	yes
SLC25A42	AR	no
SLC25A46	AR	no
SLC26A1	AR	yes
SLC26A2	AR	no
SLC26A3	AR	yes
SLC26A4	AR	yes
SLC26A5	AR	yes
SLC27A4	AR	no
SLC28A1	AR	no
SLC29A3	AR	yes
SLC2A1	AR	yes
SLC2A10	AR	yes
SLC2A2	AR	yes
SLC2A9	AR	yes
SLC30A10	AR	yes
SLC30A7	AR	yes
SLC30A9	AR	yes
SLC31A1	AR	yes
SLC33A1	AR	yes
SLC34A1	AR	yes
SLC34A2	AR	yes
SLC34A3	AR	yes
SLC35A1	AR	yes
SLC35A2	XL	yes
SLC35A3	AR	no
SLC35B2	AR	no
SLC35C1	AR	yes
SLC35D1	AR	no
SLC36A2	AR	no
SLC37A4	AR	yes
SLC38A3	AR	no
SLC38A8	AR	no
SLC39A13	AR	no
SLC39A14	AR	yes
SLC39A4	AR	yes
SLC39A7	AR	yes
SLC39A8	AR	yes
SLC3A1	AR	yes
SLC41A1	AR	yes
SLC44A1	AR	no
SLC45A1	AR	no
SLC45A2	AR	no
SLC46A1	AR	yes
SLC4A1	AR	yes
SLC4A10	AR	no
SLC4A2	AR	no
SLC4A4	AR	yes
SLC51A	AR	yes
SLC51B	AR	yes
SLC52A2	AR	yes
SLC52A3	AR	yes
SLC5A1	AR	yes
SLC5A2	AR	no
SLC5A5	AR	yes
SLC5A6	AR	yes
SLC5A7	AR	yes
SLC6A17	AR	no
SLC6A19	AR	yes
SLC6A3	AR	no
SLC6A5	AR	yes
SLC6A6	AR	yes
SLC6A8	XL	yes
SLC6A9	AR	no
SLC7A14	AR	no
SLC7A6OS	AR	no
SLC7A7	AR	yes
SLC7A9	AR	yes
SLC9A1	AR	no
SLC9A3	AR	yes
SLC9A6	XL	no
SLC9A7	XL	no
SLCO2A1	AR	yes
SLF2	AR	yes
SLFN14	AR	yes
SLITRK2	XL	no
SLITRK6	AR	yes
SLURP1	AR	no
SLX4	AR	yes
SMARCAL1	AR	yes
SMARCD2	AR	yes
SMC1A	XL	yes
SMC5	AR	yes
SMG8	AR	yes
SMG9	AR	yes
SMN1	AR	no
SMO	AR	yes
SMOC1	AR	no
SMOC2	AR	no
SMPD1	AR	no
SMPD4	AR	yes
SMPX	XL	yes
SMS	XL	no
SNAI2	AR	yes
SNAP29	AR	no
SNAPC4	AR	no
SNF8	AR	no
SNIP1	AR	no
SNORD118	AR	no
SNUPN	AR	no
SNX10	AR	yes
SNX14	AR	no
SOBP	AR	no
SOD1	AR	no
SOHLH1	AR	yes
SORD	AR	no
SOST	AR	yes
SOX18	AR	no
SOX3	XL	yes
SP110	AR	yes
SP7	AR	no
SPACA1	AR	no
SPAG1	AR	yes
SPAG17	AR	no
SPARC	AR	no
SPART	AR	no
SPATA16	AR	no
SPATA22	AR	yes
SPATA5	AR	yes
SPATA5L1	AR	yes
SPATA7	AR	no
SPEF2	AR	no
SPEG	AR	yes
SPG11	AR	no
SPG21	AR	no
SPG7	AR	no
SPIDR	AR	no
SPIN4	XL	no
SPINK1	AR	yes
SPINK2	AR	no
SPINK5	AR	yes
SPNS2	AR	yes
SPPL2A	AR	yes
SPR	AR	yes
SPRED2	AR	yes
SPTA1	AR	yes
SPTB	AR	yes
SPTBN2	AR	no
SPTBN4	AR	yes
SPTSSA	AR	yes
SPZ1	AR	yes
SQOR	AR	yes
SRD5A2	AR	yes
SRD5A3	AR	yes
SRP68	AR	yes
SRPK3	XL	no
SRPX2	XL	no
SSR4	XL	no
SSX1	XL	no
ST14	AR	no
ST3GAL3	AR	no
ST3GAL5	AR	no
STAC3	AR	yes
STAG2	XL	yes
STAG3	AR	yes
STAMBP	AR	no
STAR	AR	yes
STAT1	AR	yes
STAT2	AR	yes
STAT5B	AR	yes
STEEP1	XL	no
STIL	AR	no
STIM1	AR	yes
STK33	AR	no
STK36	AR	yes
STK4	AR	yes
STN1	AR	yes
STRA6	AR	yes
STRADA	AR	yes
STRC	AR	yes
STS	XL	yes
STT3A	AR	no
STT3B	AR	no
STUB1	AR	no
STX11	AR	yes
STX4	AR	yes
STX5	AR	no
STXBP2	AR	yes
SUCLA2	AR	yes
SUCLG1	AR	no
SUGCT	AR	no
SULT2B1	AR	no
SUMF1	AR	no
SUN5	AR	no
SUOX	AR	yes
SURF1	AR	no
SV2A	AR	no
SVBP	AR	no
SVIL	AR	yes
SYCE1	AR	yes
SYCP2L	AR	yes
SYN1	XL	no
SYNE4	AR	yes
SYNJ1	AR	yes
SYP	XL	no
SYT14	AR	no
SYT2	AR	yes
SZT2	AR	no
TAC3	AR	yes
TACO1	AR	no
TACR3	AR	yes
TACSTD2	AR	no
TAF1	XL	yes
TAF13	AR	no
TAF2	AR	no
TAF4B	AR	no
TAF6	AR	no
TAF8	AR	no
TAFAZZIN	XL	yes
TALDO1	AR	yes
TAMM41	AR	no
TANGO2	AR	yes
TAP1	AR	yes
TAP2	AR	yes
TAPBP	AR	yes
TARS1	AR	yes
TARS2	AR	no
TASP1	AR	yes
TAT	AR	yes
TBC1D20	AR	no
TBC1D23	AR	no
TBC1D24	AR	yes
TBC1D2B	AR	no
TBC1D4	AR	no
TBC1D7	AR	no
TBC1D8B	XL	no
TBCD	AR	no
TBCE	AR	yes
TBCK	AR	no
TBK1	AR	yes
TBL1X	XL	yes
TBP	AR	no
TBX15	AR	no
TBX19	AR	yes
TBX21	AR	yes
TBX22	XL	yes
TBX6	AR	no
TBXAS1	AR	yes
TCAP	AR	yes
TCEAL1	XL	yes
TCF3	AR	yes
TCHH	AR	no
TCIRG1	AR	yes
TCN2	AR	yes
TCTN1	AR	no
TCTN2	AR	no
TCTN3	AR	yes
TDP1	AR	no
TDP2	AR	no
TDRD7	AR	yes
TDRD9	AR	no
TECPR2	AR	no
TECR	AR	no
TECRL	AR	yes
TECTA	AR	yes
TEFM	AR	no
TEKT3	AR	no
TELO2	AR	yes
TENM1	AR	no
TENM3	AR	no
TENT5A	AR	no
TERB1	AR	no
TERB2	AR	no
TERT	AR	yes
TET2	AR	yes
TET3	AR	no
TEX11	XL	no
TEX14	AR	no
TEX15	AR	no
TF	AR	yes
TFAM	AR	no
TFE3	XL	no
TFG	AR	no
TFR2	AR	yes
TFRC	AR	yes
TG	AR	yes
TGDS	AR	no
TGFB1	AR	yes
TGM1	AR	no
TGM3	AR	no
TGM5	AR	no
TH	AR	yes
THG1L	AR	no
THOC2	XL	no
THOC6	AR	yes
THPO	AR	yes
THRB	AR	yes
THSD1	AR	yes
THUMPD1	AR	no
TIAM1	AR	yes
TICAM1	AR	yes
TIMM22	AR	no
TIMM50	AR	yes
TIMM8A	XL	yes
TIMMDC1	AR	no
TJP2	AR	yes
TK2	AR	no
TKFC	AR	no
TKT	AR	yes
TLCD3B	AR	no
TLE6	AR	no
TLR3	AR	yes
TLR7	XL	yes
TLR8	XL	yes
TMC1	AR	yes
TMC6	AR	yes
TMC8	AR	yes
TMCO1	AR	yes
TMEM106B	AR	no
TMEM107	AR	no
TMEM126A	AR	no
TMEM126B	AR	yes
TMEM132E	AR	yes
TMEM138	AR	no
TMEM147	AR	no
TMEM165	AR	no
TMEM199	AR	yes
TMEM216	AR	no
TMEM218	AR	no
TMEM222	AR	no
TMEM231	AR	no
TMEM237	AR	no
TMEM251	AR	no
TMEM260	AR	yes
TMEM38B	AR	no
TMEM53	AR	no
TMEM63C	AR	no
TMEM67	AR	yes
TMEM70	AR	no
TMEM94	AR	yes
TMIE	AR	yes
TMPRSS15	AR	yes
TMPRSS3	AR	yes
TMPRSS6	AR	yes
TMTC3	AR	no
TMTC4	AR	no
TMX2	AR	no
TNFRSF11A	AR	yes
TNFRSF11B	AR	yes
TNFRSF13B	AR	yes
TNFRSF13C	AR	yes
TNFRSF4	AR	yes
TNFRSF9	AR	yes
TNFSF11	AR	yes
TNIK	AR	no
TNNI3	AR	yes
TNNT1	AR	no
TNXB	AR	yes
TOE1	AR	no
TOGARAM1	AR	no
TOMM7	AR	no
TONSL	AR	no
TOP3A	AR	yes
TOR1A	AR	no
TOR1AIP1	AR	yes
TOR1AIP2	AR	no
TP53RK	AR	no
TP73	AR	yes
TPI1	AR	yes
TPK1	AR	yes
TPM3	AR	no
TPMT	AR	yes
TPO	AR	yes
TPP1	AR	yes
TPP2	AR	yes
TPR	AR	no
TPRKB	AR	no
TPRN	AR	yes
TRAC	AR	yes
TRAF3IP1	AR	no
TRAF3IP2	AR	yes
TRAIP	AR	no
TRAK1	AR	no
TRAP1	AR	yes
TRAPPC11	AR	no
TRAPPC12	AR	no
TRAPPC14	AR	no
TRAPPC2	XL	no
TRAPPC2L	AR	no
TRAPPC4	AR	no
TRAPPC6B	AR	no
TRAPPC9	AR	no
TRDN	AR	yes
TREH	AR	no
TREM2	AR	no
TREX1	AR	yes
TRHR	AR	yes
TRIM2	AR	no
TRIM32	AR	yes
TRIM36	AR	no
TRIM37	AR	yes
TRIOBP	AR	yes
TRIP11	AR	no
TRIP13	AR	yes
TRIP4	AR	no
TRIT1	AR	no
TRMT1	AR	no
TRMT10A	AR	yes
TRMT10C	AR	no
TRMT5	AR	no
TRMU	AR	yes
TRNT1	AR	yes
TRPM1	AR	no
TRPM6	AR	yes
TRPV6	AR	yes
TRU-TCA1-1	AR	no
TSEN15	AR	no
TSEN2	AR	no
TSEN34	AR	no
TSEN54	AR	no
TSFM	AR	no
TSGA10	AR	no
TSHB	AR	yes
TSHR	AR	yes
TSPAN12	AR	no
TSPAN7	XL	no
TSPEAR	AR	yes
TSPOAP1	AR	yes
TSPYL1	AR	no
TSR2	XL	yes
TTC12	AR	yes
TTC19	AR	no
TTC21A	AR	no
TTC21B	AR	no
TTC26	AR	yes
TTC29	AR	no
TTC37	AR	yes
TTC5	AR	no
TTC7A	AR	no
TTC8	AR	yes
TTI1	AR	no
TTI2	AR	no
TTLL5	AR	no
TTN	AR	yes
TTPA	AR	yes
TUB	AR	no
TUBA8	AR	no
TUBB3	AR	no
TUBB8	AR	no
TUBGCP2	AR	no
TUBGCP4	AR	no
TUBGCP6	AR	no
TUFM	AR	no
TUFT1	AR	no
TULP1	AR	no
TULP3	AR	yes
TUSC3	AR	no
TWIST2	AR	no
TWNK	AR	yes
TXN2	AR	yes
TXNDC15	AR	no
TXNL4A	AR	yes
TXNRD2	AR	yes
TYK2	AR	yes
TYMP	AR	yes
TYR	AR	no
TYROBP	AR	no
TYRP1	AR	no
UBA1	XL	no
UBA5	AR	no
UBE2A	XL	no
UBE2T	AR	yes
UBE3B	AR	no
UBE3C	AR	no
UBE4A	AR	no
UBQLN2	XL	no
UBR1	AR	yes
UBR7	AR	yes
UFC1	AR	no
UFM1	AR	no
UGDH	AR	no
UGP2	AR	no
UGT1A1	AR	yes
UMPS	AR	yes
UNC13D	AR	yes
UNC45A	AR	yes
UNC80	AR	no
UNC93B1	AR	yes
UPB1	AR	no
UPF3B	XL	no
UQCC2	AR	no
UQCC3	AR	no
UQCRB	AR	no
UQCRC2	AR	no
UQCRFS1	AR	yes
UQCRH	AR	yes
UQCRQ	AR	no
UROC1	AR	no
UROD	AR	yes
UROS	AR	yes
USB1	AR	yes
USH1C	AR	yes
USH1G	AR	yes
USH2A	AR	yes
USP18	AR	no
USP26	XL	no
USP27X	XL	no
USP45	AR	no
USP53	AR	yes
USP9X	XL	no
UTP4	AR	yes
UVSSA	AR	no
VAC14	AR	no
VAMP1	AR	yes
VARS1	AR	no
VARS2	AR	no
VAX1	AR	no
VDR	AR	yes
VHL	AR	yes
VIPAS39	AR	no
VKORC1	AR	yes
VLDLR	AR	no
VMA21	XL	no
VPS11	AR	no
VPS13A	AR	no
VPS13B	AR	yes
VPS13C	AR	no
VPS13D	AR	no
VPS16	AR	yes
VPS33A	AR	no
VPS33B	AR	yes
VPS35L	AR	no
VPS37A	AR	no
VPS41	AR	no
VPS45	AR	yes
VPS50	AR	no
VPS51	AR	no
VPS53	AR	no
VRK1	AR	no
VSX2	AR	no
VWA1	AR	no
VWA3B	AR	no
WARS2	AR	yes
WAS	XL	yes
WASHC4	AR	no
WASHC5	AR	yes
WBP2	AR	yes
WBP4	AR	yes
WDPCP	AR	yes
WDR19	AR	no
WDR35	AR	no
WDR4	AR	yes
WDR45	XL	no
WDR45B	AR	no
WDR62	AR	no
WDR72	AR	no
WDR73	AR	no
WDR81	AR	no
WDR83OS	AR	yes
WEE2	AR	no
WFDC2	AR	yes
WFS1	AR	yes
WHRN	AR	yes
WIPF1	AR	yes
WIPI2	AR	no
WNK1	AR	yes
WNK3	XL	no
WNT1	AR	no
WNT10A	AR	no
WNT10B	AR	no
WNT2B	AR	yes
WNT3	AR	no
WNT4	AR	no
WNT7A	AR	no
WRAP53	AR	yes
WRN	AR	yes
WWOX	AR	no
XDH	AR	yes
XIAP	XL	yes
XIST	XL	no
XK	XL	yes
XPA	AR	yes
XPC	AR	yes
XPNPEP2	XL	yes
XPNPEP3	AR	no
XRCC1	AR	no
XRCC2	AR	yes
XRCC4	AR	yes
XYLT1	AR	no
XYLT2	AR	yes
YARS1	AR	no
YARS2	AR	yes
YIF1B	AR	no
YIPF5	AR	yes
YME1L1	AR	no
YY1AP1	AR	yes
ZAP70	AR	yes
ZBTB11	AR	no
ZBTB16	AR	no
ZBTB24	AR	yes
ZBTB42	AR	no
ZC3H14	AR	no
ZC4H2	XL	no
ZDHHC15	XL	no
ZDHHC9	XL	no
ZFP36L2	AR	no
ZFX	XL	yes
ZFYVE19	AR	yes
ZFYVE26	AR	no
ZIC3	XL	yes
ZMPSTE24	AR	no
ZMYM3	XL	no
ZMYND10	AR	yes
ZMYND15	AR	no
ZNF141	AR	no
ZNF142	AR	no
ZNF335	AR	no
ZNF341	AR	yes
ZNF407	AR	no
ZNF408	AR	no
ZNF41	XL	no
ZNF423	AR	no
ZNF469	AR	yes
ZNF513	AR	no
ZNF526	AR	no
ZNF592	AR	no
ZNF668	AR	no
ZNF674	XL	no
ZNF699	AR	yes
ZNF711	XL	no
ZNF808	AR	yes
ZNF81	XL	no
ZNFX1	AR	yes
ZNHIT3	AR	no
ZP1	AR	no
ZP2	AR	no
ZPBP	AR	no
ZPR1	AR	yes
ZRSR2	XL	yes
ZSCAN10	AR	yes
ZSWIM7	AR	yes
